"","metodologia","mse","accuracy","n","seed"
"1","Lasso",123.418616991454,0.76,1533,1
"2","Ada Lasso",130.520162622514,0.8,Inf,1
"3","Local prior",126.622658131679,0.78,6133,1
"4","Non local",130.520162622514,0.8,Inf,1
"5","Ada mod",129.451773148669,0.76,6133,1
"6","Lasso mod",130.520162622514,0.8,Inf,1
"7","Naive",128.252368350998,0.2,200,1
"8","Oracle",119.420539315672,1,920,1
"9","Lasso",126.550088208161,0.78,1840,2
"10","Ada Lasso",127.908931533987,0.78,2300,2
"11","Local prior",129.346753566808,0.82,4600,2
"12","Non local",134.042421930564,0.78,9200,2
"13","Ada mod",125.976679038374,0.8,2044,2
"14","Lasso mod",127.104505925103,0.8,1840,2
"15","Naive",137.112830470636,0.2,200,2
"16","Oracle",122.160708489508,1,1415,2
"17","Lasso",53.0149479414133,0.72,707,3
"18","Ada Lasso",53.2538074244685,0.76,1415,3
"19","Local prior",53.9092422404208,0.82,3680,3
"20","Non local",54.0435163193966,0.82,9200,3
"21","Ada mod",53.3541823567622,0.7,657,3
"22","Lasso mod",54.2766031435249,0.78,1533,3
"23","Naive",58.0162081005582,0.2,200,3
"24","Oracle",51.7745344329984,1,1082,3
"25","Lasso",60.9748639460984,0.72,1840,4
"26","Ada Lasso",61.8363860169009,0.8,4600,4
"27","Local prior",61.8363860169009,0.8,4600,4
"28","Non local",63.3184434481797,0.8,Inf,4
"29","Ada mod",59.0847321038719,0.74,1533,4
"30","Lasso mod",61.8122070041504,0.66,2300,4
"31","Naive",63.9398708972613,0.2,200,4
"32","Oracle",56.4755904174891,1,1022,4
"33","Lasso",143.34796795406,0.68,557,5
"34","Ada Lasso",159.412458595455,0.8,Inf,5
"35","Local prior",145.237589301169,0.8,4600,5
"36","Non local",159.412458595455,0.8,Inf,5
"37","Ada mod",144.49774842428,0.84,2628,5
"38","Lasso mod",159.412458595455,0.8,Inf,5
"39","Naive",159.382838144044,0.2,200,5
"40","Oracle",141.579507319753,1,920,5
"41","Lasso",85.782913281032,0.72,736,6
"42","Ada Lasso",88.6270444762064,0.82,3680,6
"43","Local prior",88.693647690552,0.84,4600,6
"44","Non local",88.693647690552,0.84,4600,6
"45","Ada mod",85.782913281032,0.72,736,6
"46","Lasso mod",87.0190004330361,0.74,2300,6
"47","Naive",95.6062625490324,0.2,200,6
"48","Oracle",84.10021230084,1,1082,6
"49","Lasso",67.1116637678955,0.78,1082,7
"50","Ada Lasso",66.9816063475474,0.84,1672,7
"51","Local prior",67.5445243026145,0.84,2628,7
"52","Non local",67.5140287365653,0.86,3680,7
"53","Ada mod",67.3095998323933,0.66,593,7
"54","Lasso mod",67.3904293098804,0.72,800,7
"55","Naive",73.9702297153537,0.2,200,7
"56","Oracle",66.1899138990704,1,1022,7
"57","Lasso",95.9262386477642,0.78,3680,8
"58","Ada Lasso",95.9262386477642,0.78,3680,8
"59","Local prior",96.1086803838905,0.8,6133,8
"60","Non local",95.9729253151233,0.82,9200,8
"61","Ada mod",99.5802550768969,0.76,6133,8
"62","Lasso mod",95.5458973343964,0.72,2300,8
"63","Naive",101.622880507289,0.2,200,8
"64","Oracle",90.1760167199827,1,1022,8
"65","Lasso",54.5789971049099,0.78,2628,9
"66","Ada Lasso",54.3979135861145,0.78,3680,9
"67","Local prior",54.4030290930238,0.8,4600,9
"68","Non local",54.526597962827,0.82,9200,9
"69","Ada mod",54.5789971049099,0.78,2628,9
"70","Lasso mod",53.1191557208182,0.76,1840,9
"71","Naive",59.5169222417448,0.2,200,9
"72","Oracle",52.4724292073505,1,1082,9
"73","Lasso",61.0853103286952,0.88,2628,10
"74","Ada Lasso",61.7815644099848,0.84,6133,10
"75","Local prior",61.7815644099848,0.84,6133,10
"76","Non local",62.5394376933198,0.82,9200,10
"77","Ada mod",61.0853103286952,0.88,2628,10
"78","Lasso mod",61.3487337271107,0.8,2628,10
"79","Naive",68.8118279999493,0.2,200,10
"80","Oracle",60.0542711660234,1,1022,10
"81","Lasso",107.936115984231,0.7,1150,11
"82","Ada Lasso",107.642761794738,0.76,2300,11
"83","Local prior",107.856613945437,0.78,2628,11
"84","Non local",108.152645128942,0.82,6133,11
"85","Ada mod",108.206115552008,0.7,836,11
"86","Lasso mod",108.614506889714,0.72,836,11
"87","Naive",117.776290229681,0.2,200,11
"88","Oracle",104.398250582718,1,1022,11
"89","Lasso",122.706292803035,0.76,1082,12
"90","Ada Lasso",122.374861205041,0.78,1840,12
"91","Local prior",125.158865741518,0.76,3066,12
"92","Non local",124.487290039056,0.8,Inf,12
"93","Ada mod",123.702016796223,0.82,18400,12
"94","Lasso mod",122.256308054375,0.82,18400,12
"95","Naive",136.518894741398,0.2,200,12
"96","Oracle",114.169576400782,1,1150,12
"97","Lasso",109.070267562915,0.72,766,13
"98","Ada Lasso",110.950418530058,0.76,1314,13
"99","Local prior",112.079921845766,0.8,3680,13
"100","Non local",113.121719036366,0.78,9200,13
"101","Ada mod",109.199713786691,0.72,1022,13
"102","Lasso mod",109.505117644592,0.74,4600,13
"103","Naive",115.140094031701,0.2,200,13
"104","Oracle",103.950016447976,1,968,13
"105","Lasso",103.991002003376,0.8,2628,14
"106","Ada Lasso",112.347679634756,0.8,Inf,14
"107","Local prior",105.341213279844,0.82,9200,14
"108","Non local",112.347679634756,0.8,Inf,14
"109","Ada mod",109.626996228352,0.78,4600,14
"110","Lasso mod",112.347679634756,0.8,Inf,14
"111","Naive",114.669321669549,0.2,200,14
"112","Oracle",101.133436645593,1,1150,14
"113","Lasso",111.294881318123,0.72,1022,15
"114","Ada Lasso",113.351789592591,0.76,1672,15
"115","Local prior",114.044477866646,0.8,9200,15
"116","Non local",114.044477866646,0.8,9200,15
"117","Ada mod",111.796609206031,0.66,968,15
"118","Lasso mod",111.534830209542,0.78,3680,15
"119","Naive",119.342474277698,0.2,200,15
"120","Oracle",108.288248202044,1,1226,15
"121","Lasso",213.534938932685,0.76,3680,16
"122","Ada Lasso",215.410754800169,0.8,Inf,16
"123","Local prior",213.241030308627,0.78,9200,16
"124","Non local",215.410754800169,0.8,Inf,16
"125","Ada mod",215.410754800169,0.8,Inf,16
"126","Lasso mod",215.410754800169,0.8,Inf,16
"127","Naive",226.007801203884,0.2,200,16
"128","Oracle",194.518534094753,1,1022,16
"129","Lasso",139.49839795971,0.82,6133,17
"130","Ada Lasso",139.49839795971,0.82,6133,17
"131","Local prior",139.376586298142,0.78,3680,17
"132","Non local",139.49839795971,0.82,6133,17
"133","Ada mod",147.360207936872,0.78,9200,17
"134","Lasso mod",140.144346902922,0.7,1533,17
"135","Naive",152.253584929939,0.2,200,17
"136","Oracle",137.199425398105,1,876,17
"137","Lasso",83.2735263857783,0.78,3680,18
"138","Ada Lasso",83.8302661008166,0.82,9200,18
"139","Local prior",83.8302661008166,0.82,9200,18
"140","Non local",83.8302661008166,0.82,9200,18
"141","Ada mod",80.5354420685681,0.84,1840,18
"142","Lasso mod",86.4954775694619,0.8,Inf,18
"143","Naive",90.1119961448019,0.2,200,18
"144","Oracle",79.6947168149079,1,1226,18
"145","Lasso",104.48121969451,0.76,1840,19
"146","Ada Lasso",105.918257677222,0.78,6133,19
"147","Local prior",105.21261765973,0.74,2300,19
"148","Non local",105.918257677222,0.78,6133,19
"149","Ada mod",105.449290754009,0.66,1022,19
